country,avg_value
,#DIV/0!
AF,13.065
AL,45.9125
AM,27.99
AR,33.47751634
AT,27.405
AU,17.3
BA,30
BD,11.08666667
BE,51.985
BF,8.805
BG,13.41666667
BI,5.61
BM,23.35
BO,15.01222222
BR,16.78444444
BW,29.098
BZ,8.68
CA,28.76272727
CAB,20.9
CH,15.99888889
CI,9.6375
CL,15.32333333
CM,5.215
CN,16.31287037
CO,4.854
CON,13.56
CR,16.267
CUR,23.49
CY,45.47
CZ,13.3
DE,17.506
DK,67.999
DO,8.441
EE,5.822
EG,23.8
ES,23.6288233
ESW,23.88
ET,8.457
FI,66.043
FJ,16.235
FR,10.64805556
GE,18.735
GH,16.235
GM,14.48
GR,21.43333333
GT,2.907
GY,14.01
HK,21.69928571
HN,3.00625
HR,24.98166667
HT,1.72
HU,9.781666667
ID,12.14
IE,26.80181818
IL,25.16
IN,12.13350877
IS,89.588
IT,38.05254545
JP,21.33722222
KE,9.515
KH,9.63
KM,13.35
KR,9.769590909
KZ,43.7675
LA,15.5
LK,14.06285714
LR,20.08
LS,7.235
LT,8.31
LU,33.317
LV,12.229
MA,8.405
MAC,22.34
MD,23.84857143
ME,25.83
MG,8.795
ML,11.51666667
MM,1
MN,38.811
MR,10.36
MT,48.22727273
MU,26.99428571
MW,8.85
MX,13.24545455
MY,9.168442424
MZ,12.49
NA,17.955
NE,27
NI,5.3
NL,21.88530303
NO,50.03
NP,33.98333333
NZ,19.28818182
PA,20.23
PAL,20.38
PE,2.607777778
PH,8.862363636
PK,4.73
PL,20.5069127
PT,17.65666667
PY,7.209
RO,34.38776786
RS,33.28
RU,33.73928571
RW,5.413333333
SC,2.04
SD,30.41
SE,62.43639394
SG,16.00724242
SI,26.625
SK,12.465
SL,23.7
SN,11.40555556
SO,11.8
SV,13.04888889
TG,25.11
TH,3.348848485
TN,31.83
TR,5.337857143
TT,20.4
TW,39.355
TZ,29.68333333
UA,55.69184848
UG,10.485
UK,28.59190909
US,11.802
UY,29.0475
VC,4.9
VE,0.2
VN,20.40333333
WS,11.8
ZA,28.855
ZM,25.916
ZW,13.46666667
Grand Total,22.0682095